createtopost,followers_count,bi_followers_count,friends_count,statuses_count,favourites_count,share_ct,comment_ct,attitudes_ct,verified,verified_type,verified_kind,gender,geo_enabled,province,hasURL,emotion,length,realwd,imgwd,engwd,otherwd,is_rumor
314,668682,2518,2778,20665,4,266,129,0,1,celebrity,yellowV,1,1,11,1,1,106,39.13,13.04,17.39,30.43,FALSE
750,2377080,33,57,46036,59,695,40,100,0,normal user,normal user,1,0,71,0,-8,396,62.5,19.32,0,18.18,FALSE
840,21307,2484,3000,23431,14,119,37,0,1,celebrity,yellowV,1,1,11,0,2,321,72.06,11.76,0,16.18,FALSE
791,3613,7,9,26,0,1387,475,44,0,normal user,normal user,1,0,100,0,1,309,63.01,17.81,5.48,13.7,FALSE
560,1035876,74,214,7474,162,1234,39,155,0,senior master,master,0,1,31,0,-5,171,57.14,28.57,0,14.29,FALSE
487,404906,20,47,111870,6,1154,195,0,0,normal user,normal user,0,1,44,1,-7,231,53.7,16.67,7.41,22.22,FALSE
632,6157666,399,621,86426,5,461,70,0,1,media,blueV,1,1,11,1,-1,221,50,23.08,7.69,19.23,FALSE
1555,11642154,1312,2008,66390,443,1148,55,143,1,media,blueV,1,1,11,0,-2,336,55.95,22.62,0,21.43,FALSE
1258,1652,483,930,17552,254,825,34,3,0,senior master,master,1,1,31,0,0,69,47.06,17.65,5.88,29.41,FALSE
1024,7311696,207,249,36161,13,236,77,2,1,media,blueV,1,0,81,0,1,324,68.66,11.94,0,19.4,FALSE
268,718,64,209,3090,244,1540,357,0,0,normal user,normal user,1,1,44,0,-2,417,69.57,9.78,2.17,18.48,FALSE
309,1955001,59,179,39926,1,742,58,2,0,normal user,normal user,0,1,11,0,-3,389,59.78,22.83,0,17.39,FALSE
316,7782,162,381,2512,11,183,78,1,1,enterprise,blueV,1,1,31,0,-1,188,63.16,10.53,7.89,18.42,FALSE
1285,412270,1934,2210,2173,5401,1342,260,73,1,celebrity,yellowV,0,1,400,0,-3,416,63.53,12.94,2.35,21.18,FALSE
1209,6199626,201,658,79196,477,1800,241,129,0,normal user,normal user,1,0,11,1,0,358,56.79,14.81,4.94,23.46,FALSE
1181,19146023,293,918,92503,7029,1603,370,271,0,normal user,normal user,0,0,44,0,-1,69,47.06,11.76,0,41.18,FALSE
902,106987,1772,1993,8499,80,197,121,0,0,normal user,normal user,1,1,43,0,1,270,70.18,8.77,0,21.05,FALSE
778,10608,2871,2978,211937,18,452,238,30,0,normal user,normal user,1,1,21,1,5,285,41.11,11.11,4.44,43.33,FALSE
437,1009002,1967,2891,42759,634,908,72,2,0,normal user,normal user,1,0,31,0,0,315,49.35,15.58,2.6,32.47,FALSE
611,203187,22,30,6849,31,907,418,7,0,normal user,normal user,0,1,44,0,-6,348,53.57,16.67,9.52,20.24,FALSE
104,166262,1330,1463,16673,281,590,75,0,0,normal user,normal user,0,1,31,1,1,342,67.16,13.43,5.97,13.43,FALSE
1411,38195313,260,293,100396,26,1391,814,110,1,media,blueV,0,0,11,1,-8,404,63.86,18.07,4.82,13.25,FALSE
291,16545,294,1232,9956,57,342,201,0,1,celebrity,yellowV,1,0,61,0,0,412,61.36,25,0,13.64,FALSE
887,93995,596,1018,3298,587,1779,285,4,1,celebrity,yellowV,0,1,400,0,4,403,62.64,18.68,0,18.68,FALSE
343,4022153,35,68,46209,123,1136,459,16,0,normal user,normal user,0,0,44,0,0,66,76.47,11.76,0,11.76,FALSE
824,1715485,220,474,40667,1,1060,245,81,1,enterprise,blueV,0,0,11,0,1,403,65.48,13.1,1.19,20.24,FALSE
897,4255939,19,31,61323,12,914,118,0,0,normal user,normal user,0,0,31,0,5,143,46.88,25,0,28.12,FALSE
180,1236378,367,1405,45353,13,1650,411,0,0,normal user,normal user,1,0,31,0,0,35,55.56,0,11.11,33.33,FALSE
944,474,116,267,3631,515,1168,254,448,0,normal user,normal user,1,0,21,0,3,153,51.28,7.69,2.56,38.46,FALSE
609,40904,1167,1461,12513,5,736,237,0,0,normal user,normal user,0,1,35,0,-1,331,56.94,13.89,1.39,27.78,FALSE
546,24941,1035,1189,19390,47,1300,263,0,1,celebrity,yellowV,1,1,11,0,1,410,63.95,6.98,0,29.07,FALSE
1327,7311697,207,249,36161,13,1072,683,165,1,media,blueV,1,0,81,0,0,388,66.67,10,0,23.33,FALSE
785,1889308,1158,1879,15748,396,239,162,6,1,celebrity,yellowV,1,0,400,1,1,390,59.34,17.58,4.4,18.68,FALSE
715,974537,46,53,25433,68,216,50,69,0,normal user,normal user,1,0,400,0,8,400,66.67,5.75,1.15,26.44,FALSE
171,13762540,298,474,99549,9,313,138,0,1,media,blueV,1,1,11,0,-5,414,66.27,13.25,4.82,15.66,FALSE
1387,644698,289,342,44520,192,259,113,39,1,media,blueV,1,1,11,1,6,393,59.78,16.3,5.43,18.48,FALSE
1149,7157,42,66,488,2,313,107,50,0,normal user,normal user,1,1,71,0,3,218,49.09,10.91,0,40,FALSE
808,3170846,116,570,85069,53,411,56,3,0,normal user,normal user,0,0,44,0,3,302,48.75,28.75,0,22.5,FALSE
1153,331650,507,1043,2308,5,731,125,1,1,celebrity,yellowV,0,1,11,0,9,389,56.47,29.41,0,14.12,FALSE
808,1483,149,233,23717,1529,554,79,0,0,normal user,normal user,0,1,44,1,0,127,38.89,5.56,11.11,44.44,FALSE
1364,4622,1921,2115,1505,11,579,131,6,0,normal user,normal user,0,0,21,0,-1,359,63.64,9.09,0,27.27,FALSE
14,5492,10,96,544,2,1043,5,0,1,enterprise,blueV,1,1,43,0,4,270,54.84,22.58,3.23,19.35,FALSE
1237,522,76,193,8045,48,660,17,27,0,normal user,normal user,0,0,11,0,-4,406,57.29,28.12,4.17,10.42,FALSE
510,3687313,222,260,12358,42,796,598,1,1,celebrity,yellowV,0,1,81,0,-2,261,59.62,26.92,0,13.46,FALSE
622,1065635,886,1236,2502,1755,1553,655,5,1,celebrity,yellowV,1,1,11,0,0,8,0,0,66.67,33.33,FALSE
117,30581391,266,687,41841,12,634,54,17,1,media,blueV,1,0,11,1,3,405,63.53,14.12,4.71,17.65,FALSE
668,384838,292,414,9864,41,131,77,0,1,celebrity,yellowV,1,1,44,0,3,322,62.5,15.28,5.56,16.67,FALSE
104,11582,37,174,5117,34,282,37,1,0,senior master,master,0,1,400,0,0,89,37.93,10.34,0,51.72,FALSE
1062,13786174,568,682,62459,66,1410,553,23,1,media,blueV,1,1,11,0,-9,411,64.71,8.24,0,27.06,FALSE
22,155031,302,335,2063,14,1226,139,0,0,normal user,normal user,0,1,31,0,2,89,57.89,10.53,0,31.58,FALSE
492,26008,0,2,62,0,349,193,107,0,normal user,normal user,1,0,11,0,1,298,70.49,11.48,1.64,16.39,FALSE
693,190663,10,46,924,123,847,58,45,0,normal user,normal user,0,1,100,0,1,396,57.61,9.78,0,32.61,FALSE
368,2377080,33,57,46036,59,458,72,5,0,normal user,normal user,1,0,71,0,-5,248,57.89,21.05,0,21.05,FALSE
1538,4611,427,790,12872,254,351,43,16,1,celebrity,yellowV,0,1,44,0,-1,135,63.33,20,0,16.67,FALSE
723,1055434,86,132,23325,9,654,85,1,1,media,blueV,1,0,44,0,5,384,64.71,8.24,3.53,23.53,FALSE
914,329372,253,352,2343,431,64,46,14,1,celebrity,yellowV,0,1,33,0,3,235,47.46,18.64,0,33.9,FALSE
80,12476,119,1115,1401,2,562,331,1,1,enterprise,blueV,1,1,35,0,1,407,67.02,5.32,0,27.66,FALSE
427,182603,31,57,9962,20,721,99,349,0,senior master,master,1,0,400,0,0,70,13.79,3.45,27.59,55.17,FALSE
1169,2211214,764,1337,41418,4305,176,30,0,1,media,blueV,0,0,11,0,0,167,51.35,2.7,10.81,35.14,FALSE
1038,12298245,894,1492,88805,389,442,325,4,1,media,blueV,1,0,11,0,-5,390,73.13,11.94,0,14.93,FALSE
1337,4183929,196,412,13506,22,1279,36,151,1,media,blueV,1,1,11,0,0,393,55,15,1,29,FALSE
546,40168,168,310,7991,7,272,37,8,0,normal user,normal user,1,0,32,0,-3,410,66.29,15.73,4.49,13.48,FALSE
1184,15830,471,495,25309,666,196,30,33,0,senior master,master,0,1,12,0,3,120,48.39,22.58,3.23,25.81,FALSE
1233,9288100,1192,1439,42171,0,1144,100,263,1,celebrity,yellowV,1,1,44,0,4,384,45.98,32.18,0,21.84,FALSE
887,336,153,445,685,83,49,14,0,1,celebrity,yellowV,1,1,44,0,0,416,80,5.88,0,14.12,FALSE
216,23344,729,802,982,50,518,144,0,0,normal user,normal user,1,0,11,1,0,173,45.1,11.76,7.84,35.29,FALSE
968,531,99,246,257,1,1223,349,140,0,normal user,normal user,1,1,43,0,1,75,50,20.83,0,29.17,FALSE
761,2382997,689,727,9611,8,599,356,1,1,celebrity,yellowV,1,0,11,0,-2,377,63.22,12.64,0,24.14,FALSE
695,12374,288,486,4443,5,102,23,0,0,normal user,normal user,0,1,400,0,3,103,63.64,18.18,0,18.18,FALSE
605,8712133,1168,1177,4144,899,1373,792,3,0,normal user,normal user,1,0,100,0,0,30,40,20,0,40,FALSE
512,1482249,1701,2177,44361,12916,322,47,0,0,normal user,normal user,1,0,11,0,-3,372,57.53,17.81,0,24.66,FALSE
1567,3641505,615,928,70235,40769,573,167,78,1,media,blueV,1,1,32,1,-4,398,65.88,10.59,4.71,18.82,FALSE
959,8097998,18,42,8339,13,238,143,29,1,enterprise,blueV,1,1,11,0,-1,109,57.14,17.86,0,25,FALSE
